year,state_facility,state_zip,deaths_coef_2,deaths_coef_1,deaths_coef_3
1999,Arizona,Missouri,3.828717339945895,3.4728717023220046,4.184563349325846
1999,Arizona,Montana,0.0716988186559978,0.06503507059547829,0.0783625681069938
1999,Arizona,Nebraska,2.039808598123304,1.850225274083298,2.229392332653599
1999,Arizona,Nevada,1.0355898768384972,0.9393407068915823,1.131839186189181
1999,Arizona,New Hampshire,0.0774194166236711,0.0702239947036349,0.0846148393713024
1999,Arizona,New Jersey,0.8116867940913811,0.7362479668419534,0.8871256327795798
1999,Arizona,New Mexico,6.097286646302035,5.53057379843856,6.664004927904736
1999,Arizona,New York,1.6974348029545312,1.5396738374435441,1.8551957927544769
1999,Arizona,North Carolina,1.0632069361265843,0.9643915850344442,1.1620223100637839
1999,Arizona,North Dakota,0.1496118286976415,0.1357067628413704,0.16351690106144579
