state_zip,FacID,FacID,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2,deaths_coef_1,deaths_coef_3
Alabama,883,883,42.3833,-87.8133,Illinois,8.52366213393766,7.7314628003795285,9.315862259689904
Alabama,884,884,41.6334,-88.0626,Illinois,11.553852050747066,10.480022900618803,12.627682346120602
Alabama,886,886,41.8508,-87.6533,Illinois,3.0457832938878804,2.762704683864469,3.328862161347318
Alabama,887,887,37.2103,-88.8606,Illinois,51.67380313002175,46.87115750181519,56.476457799077046
Alabama,889,889,38.205,-89.855,Illinois,62.645709659920506,56.82282192115497,68.46870994468559
Alabama,891,891,40.2797,-90.0775,Illinois,7.8876715648194535,7.154577635721557,8.620767111938806
Alabama,892,892,41.3017,-89.3136,Illinois,6.2257286126902365,5.647100867885331,6.804357160678334
Alabama,897,897,40.1781,-87.7481,Illinois,7.817852211877455,7.091248710784094,8.544457051128052
Alabama,898,898,38.8639,-90.1325,Illinois,13.53338534352816,12.275567130796704,14.791206704334432
Alabama,963,963,39.7539,-89.6011,Illinois,10.06886217572138,9.133040725153721,11.00468648448259
Alabama,964,964,39.7539,-89.6011,Illinois,6.888515234539005,6.248286492097681,7.528745009356374
Alabama,976,976,37.6206,-88.955,Illinois,18.482630721465526,16.764827804194383,20.20043641294157
Alabama,981,981,41.7072,-87.5217,Indiana,5.888365679203364,5.341094345805188,6.435637477513382
Alabama,983,983,38.7383,-85.4192,Indiana,67.92555081291397,61.612406228369245,74.23871458187752
Alabama,988,988,39.0831,-84.8581,Indiana,49.789568916809856,45.16188311601919,54.41729701983266
Alabama,990,990,39.7119,-86.1975,Indiana,42.201924428309276,38.27953951706314,46.12433123014702
Alabama,991,991,39.4851,-86.4176,Indiana,17.995102703938382,16.322612444373622,19.667595442016488
Alabama,994,994,38.5267,-87.2525,Indiana,63.103544350167965,57.238476204648286,68.96864897925562
Alabama,995,995,41.6433,-87.1225,Indiana,3.3365453858538987,3.0264435913228076,3.646647343648925
Alabama,996,996,41.6394,-87.4069,Indiana,1.2401044138993835,1.1248479083470275,1.3553609775292739
Alabama,997,997,41.7203,-86.9097,Indiana,8.760396969837723,7.946191289941281,9.574604268917737
Alabama,1001,1001,39.9239,-87.4272,Indiana,56.963620502802996,51.66909814554347,62.258200510011434
Alabama,1004,1004,38.8067,-87.2472,Indiana,9.639202700567775,8.743322666699006,10.53508384105834
Alabama,1007,1007,40.0969,-85.9714,Indiana,2.055348840189685,1.8643224746003777,2.2463753539533897
Alabama,1008,1008,38.2636,-85.8381,Indiana,70.87358001853165,64.2863344926445,77.46086705154983
Alabama,1010,1010,39.53,-87.4247,Indiana,70.06030106240722,63.54866358414494,76.57197568297784
Alabama,1012,1012,37.91,-87.3267,Indiana,12.477590370158921,11.317902905307783,13.637280085163061
Alabama,1040,1040,39.8028,-84.8953,Indiana,9.879152508764118,8.960967182802548,10.79733979782649
Alabama,1043,1043,38.5201,-87.2662,Indiana,33.93404476576491,30.780113456903766,37.08799166400309
Alabama,1046,1046,42.506,-90.6527,Iowa,1.2372237287820913,1.1222350832779797,1.3522124063296894
Alabama,1047,1047,43.3359,-91.1672,Iowa,3.63846966844145,3.3003065027292533,3.9766330598934716
Alabama,1048,1048,41.8081,-90.2345,Iowa,3.0459388933897658,2.7628459947538055,3.329032014029665
Alabama,1058,1058,41.9839,-91.6686,Iowa,0.7984328989588669,0.7242259153240336,0.8726398905881934
