,state_zip,FacID,FacID.1,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2,deaths_coef_1,deaths_coef_3,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
12901,Kansas,3176,3176,41.2033,-76.0683,Pennsylvania,0.0537877263240867,0.0487886540062041,0.0587867988906569,163.61279939826233,148.40618809399965,178.8194755898494
12902,Kentucky,3176,3176,41.2033,-76.0683,Pennsylvania,0.88656985472338,0.804171240924858,0.968968500342325,163.61279939826233,148.40618809399965,178.8194755898494
12903,Louisiana,3176,3176,41.2033,-76.0683,Pennsylvania,0.1808749276877399,0.1640642716863663,0.1976855849844174,163.61279939826233,148.40618809399965,178.8194755898494
12904,Maine,3176,3176,41.2033,-76.0683,Pennsylvania,1.1975436508658146,1.0862424569499372,1.3088449678607228,163.61279939826233,148.40618809399965,178.8194755898494
12905,Maryland,3176,3176,41.2033,-76.0683,Pennsylvania,5.92490146624415,5.374231715313454,6.475572246553484,163.61279939826233,148.40618809399965,178.8194755898494
12906,Massachusetts,3176,3176,41.2033,-76.0683,Pennsylvania,9.063467808329705,8.22109464830253,9.905842557217587,163.61279939826233,148.40618809399965,178.8194755898494
12907,Michigan,3176,3176,41.2033,-76.0683,Pennsylvania,1.7974866857975615,1.6304267019694674,1.964546718963604,163.61279939826233,148.40618809399965,178.8194755898494
12908,Minnesota,3176,3176,41.2033,-76.0683,Pennsylvania,0.071576868164909,0.0649244602139868,0.0782292762867696,163.61279939826233,148.40618809399965,178.8194755898494
12909,Mississippi,3176,3176,41.2033,-76.0683,Pennsylvania,0.2037781366871012,0.1848388344693298,0.2227174412319032,163.61279939826233,148.40618809399965,178.8194755898494
12910,Missouri,3176,3176,41.2033,-76.0683,Pennsylvania,0.3467786126247277,0.3145487318166858,0.3790084975027063,163.61279939826233,148.40618809399965,178.8194755898494
12911,Montana,3176,3176,41.2033,-76.0683,Pennsylvania,0.000363449348931,0.000329670096694,0.0003972286013598,163.61279939826233,148.40618809399965,178.8194755898494
12912,Nebraska,3176,3176,41.2033,-76.0683,Pennsylvania,0.0232008622583316,0.0210445566267074,0.025357167955085,163.61279939826233,148.40618809399965,178.8194755898494
12913,Nevada,3176,3176,41.2033,-76.0683,Pennsylvania,6.150794096271283e-09,5.579134931821273e-09,6.7224532607212925e-09,163.61279939826233,148.40618809399965,178.8194755898494
12914,New Hampshire,3176,3176,41.2033,-76.0683,Pennsylvania,1.4986053297892377,1.359322688663723,1.6378882070984426,163.61279939826233,148.40618809399965,178.8194755898494
12915,New Jersey,3176,3176,41.2033,-76.0683,Pennsylvania,25.66080856438408,23.27582355698177,28.04580391377803,163.61279939826233,148.40618809399965,178.8194755898494
12916,New Mexico,3176,3176,41.2033,-76.0683,Pennsylvania,0.0004380221895303,0.0003973120820403,0.0004787322963136,163.61279939826233,148.40618809399965,178.8194755898494
12917,New York,3176,3176,41.2033,-76.0683,Pennsylvania,38.27510713309453,34.71773372493381,41.83249214448247,163.61279939826233,148.40618809399965,178.8194755898494
12918,North Carolina,3176,3176,41.2033,-76.0683,Pennsylvania,3.434119803440727,3.114949056779251,3.753290777618644,163.61279939826233,148.40618809399965,178.8194755898494
12919,North Dakota,3176,3176,41.2033,-76.0683,Pennsylvania,0.0036927889745906,0.003349578404719,0.0040359995503607,163.61279939826233,148.40618809399965,178.8194755898494
12920,Ohio,3176,3176,41.2033,-76.0683,Pennsylvania,3.929174039186995,3.563992878707677,4.29435536708592,163.61279939826233,148.40618809399965,178.8194755898494
12921,Oklahoma,3176,3176,41.2033,-76.0683,Pennsylvania,0.0933835794829535,0.0847044381154502,0.1020627213355299,163.61279939826233,148.40618809399965,178.8194755898494
12922,Oregon,3176,3176,41.2033,-76.0683,Pennsylvania,4.92218978065395e-06,4.46471777570956e-06,5.379661674354e-06,163.61279939826233,148.40618809399965,178.8194755898494
12923,Pennsylvania,3176,3176,41.2033,-76.0683,Pennsylvania,45.37680305299672,41.15927308939603,49.59436914741274,163.61279939826233,148.40618809399965,178.8194755898494
12924,Rhode Island,3176,3176,41.2033,-76.0683,Pennsylvania,1.6259927418322375,1.4748704499659957,1.777115304795703,163.61279939826233,148.40618809399965,178.8194755898494
12925,South Carolina,3176,3176,41.2033,-76.0683,Pennsylvania,1.1471449399164433,1.0405281823075274,1.2537617503526504,163.61279939826233,148.40618809399965,178.8194755898494
12926,South Dakota,3176,3176,41.2033,-76.0683,Pennsylvania,0.0067628583808168,0.0061343132452782,0.0073914035304196,163.61279939826233,148.40618809399965,178.8194755898494
12927,Tennessee,3176,3176,41.2033,-76.0683,Pennsylvania,1.179673959404172,1.0700339733736275,1.289313989507222,163.61279939826233,148.40618809399965,178.8194755898494
12928,Texas,3176,3176,41.2033,-76.0683,Pennsylvania,0.3957914531086947,0.3590062932420546,0.4325766148768317,163.61279939826233,148.40618809399965,178.8194755898494
12929,Utah,3176,3176,41.2033,-76.0683,Pennsylvania,5.793218275496059e-05,5.2547922787526944e-05,6.331644286072791e-05,163.61279939826233,148.40618809399965,178.8194755898494
12930,Vermont,3176,3176,41.2033,-76.0683,Pennsylvania,0.7157104756657251,0.649191293005219,0.7822297651539288,163.61279939826233,148.40618809399965,178.8194755898494
12931,Virginia,3176,3176,41.2033,-76.0683,Pennsylvania,4.545896411183164,4.123394982314166,4.968398342455474,163.61279939826233,148.40618809399965,178.8194755898494
12932,Washington,3176,3176,41.2033,-76.0683,Pennsylvania,7.050866698632416e-05,6.395553936910937e-05,7.706179467192874e-05,163.61279939826233,148.40618809399965,178.8194755898494
12933,West Virginia,3176,3176,41.2033,-76.0683,Pennsylvania,1.0358956233770829,0.93961833598413,1.13217298892986,163.61279939826233,148.40618809399965,178.8194755898494
12934,Wisconsin,3176,3176,41.2033,-76.0683,Pennsylvania,0.2539492665148231,0.2303470237996334,0.2775515112597649,163.61279939826233,148.40618809399965,178.8194755898494
12935,Wyoming,3176,3176,41.2033,-76.0683,Pennsylvania,7.727885106745268e-05,7.009649741585017e-05,8.446120473726283e-05,163.61279939826233,148.40618809399965,178.8194755898494
12936,Alabama,3178,3178,40.9289,-79.4658,Pennsylvania,8.532719496671616,7.739677039977665,9.325763017117614,1349.4865223229633,1224.05776890366,1474.9166032031435
12937,Arizona,3178,3178,40.9289,-79.4658,Pennsylvania,0.0025966626467172,0.0023553268925877,0.0028379984013703,1349.4865223229633,1224.05776890366,1474.9166032031435
12938,Arkansas,3178,3178,40.9289,-79.4658,Pennsylvania,1.8758853305839231,1.701538667085895,2.0502320949805988,1349.4865223229633,1224.05776890366,1474.9166032031435
12939,California,3178,3178,40.9289,-79.4658,Pennsylvania,0.0001367037993578,0.0001239984468002,0.000149409151529,1349.4865223229633,1224.05776890366,1474.9166032031435
12940,Colorado,3178,3178,40.9289,-79.4658,Pennsylvania,0.0127744826093901,0.0115872126492233,0.0139617525921083,1349.4865223229633,1224.05776890366,1474.9166032031435
12941,Connecticut,3178,3178,40.9289,-79.4658,Pennsylvania,32.67704950158156,29.63993944103846,35.71417613964141,1349.4865223229633,1224.05776890366,1474.9166032031435
12942,DC,3178,3178,40.9289,-79.4658,Pennsylvania,7.050561816774347,6.395249939617561,7.705879317994674,1349.4865223229633,1224.05776890366,1474.9166032031435
12943,Delaware,3178,3178,40.9289,-79.4658,Pennsylvania,9.510695035987013,8.626732997155163,10.394663428274152,1349.4865223229633,1224.05776890366,1474.9166032031435
12944,Florida,3178,3178,40.9289,-79.4658,Pennsylvania,13.628200520008848,12.361582165937314,14.894819552434656,1349.4865223229633,1224.05776890366,1474.9166032031435
12945,Georgia,3178,3178,40.9289,-79.4658,Pennsylvania,14.471062000556556,13.126099610228705,15.816026681304477,1349.4865223229633,1224.05776890366,1474.9166032031435
12946,Idaho,3178,3178,40.9289,-79.4658,Pennsylvania,0.0005096833499128,0.000462313000144,0.0005570536997842,1349.4865223229633,1224.05776890366,1474.9166032031435
12947,Illinois,3178,3178,40.9289,-79.4658,Pennsylvania,17.405746493772014,15.788033990991403,19.02346095160055,1349.4865223229633,1224.05776890366,1474.9166032031435
12948,Indiana,3178,3178,40.9289,-79.4658,Pennsylvania,22.169249287820843,20.10879664987304,24.229707294879983,1349.4865223229633,1224.05776890366,1474.9166032031435
12949,Iowa,3178,3178,40.9289,-79.4658,Pennsylvania,1.2176990400730914,1.1045250075169135,1.330873110019572,1349.4865223229633,1224.05776890366,1474.9166032031435
12950,Kansas,3178,3178,40.9289,-79.4658,Pennsylvania,0.6881569827901318,0.6241990641751325,0.7521149217476438,1349.4865223229633,1224.05776890366,1474.9166032031435
12951,Kentucky,3178,3178,40.9289,-79.4658,Pennsylvania,16.26625432628562,14.75443389540585,17.778079411899313,1349.4865223229633,1224.05776890366,1474.9166032031435
12952,Louisiana,3178,3178,40.9289,-79.4658,Pennsylvania,1.8613612365375625,1.6883646760163125,2.034357852271118,1349.4865223229633,1224.05776890366,1474.9166032031435
12953,Maine,3178,3178,40.9289,-79.4658,Pennsylvania,7.488653612666082,6.792641982567461,8.184667419188582,1349.4865223229633,1224.05776890366,1474.9166032031435
12954,Maryland,3178,3178,40.9289,-79.4658,Pennsylvania,73.97441742420128,67.09883256306101,80.85007355237659,1349.4865223229633,1224.05776890366,1474.9166032031435
12955,Massachusetts,3178,3178,40.9289,-79.4658,Pennsylvania,48.07442382616433,43.60625333392272,52.54261439301201,1349.4865223229633,1224.05776890366,1474.9166032031435
12956,Michigan,3178,3178,40.9289,-79.4658,Pennsylvania,46.96145383250248,42.59673988627009,51.3261845148073,1349.4865223229633,1224.05776890366,1474.9166032031435
12957,Minnesota,3178,3178,40.9289,-79.4658,Pennsylvania,1.2419468888929168,1.1265192993713289,1.3573745043246837,1349.4865223229633,1224.05776890366,1474.9166032031435
12958,Mississippi,3178,3178,40.9289,-79.4658,Pennsylvania,2.3003661772166164,2.086567783181868,2.5141647062609214,1349.4865223229633,1224.05776890366,1474.9166032031435
12959,Missouri,3178,3178,40.9289,-79.4658,Pennsylvania,4.705358481568143,4.268037154260144,5.142680183319722,1349.4865223229633,1224.05776890366,1474.9166032031435
12960,Montana,3178,3178,40.9289,-79.4658,Pennsylvania,0.0043019408194539,0.0039021152151955,0.0047017664328697,1349.4865223229633,1224.05776890366,1474.9166032031435
12961,Nebraska,3178,3178,40.9289,-79.4658,Pennsylvania,0.2883122845550165,0.2615163048821828,0.3151082688474618,1349.4865223229633,1224.05776890366,1474.9166032031435
12962,Nevada,3178,3178,40.9289,-79.4658,Pennsylvania,0.0,0.0,0.0,1349.4865223229633,1224.05776890366,1474.9166032031435
12963,New Hampshire,3178,3178,40.9289,-79.4658,Pennsylvania,8.29456328578801,7.5236443132796,9.065485562030794,1349.4865223229633,1224.05776890366,1474.9166032031435
12964,New Jersey,3178,3178,40.9289,-79.4658,Pennsylvania,95.09542467113016,86.2568967580217,103.93401175986205,1349.4865223229633,1224.05776890366,1474.9166032031435
12965,New Mexico,3178,3178,40.9289,-79.4658,Pennsylvania,0.0065138506464734,0.0059084484995754,0.0071192528023676,1349.4865223229633,1224.05776890366,1474.9166032031435
12966,New York,3178,3178,40.9289,-79.4658,Pennsylvania,206.37586739534265,187.19442504972588,225.5574565713573,1349.4865223229633,1224.05776890366,1474.9166032031435
12967,North Carolina,3178,3178,40.9289,-79.4658,Pennsylvania,42.59102503628377,38.632512862454384,46.54955171544936,1349.4865223229633,1224.05776890366,1474.9166032031435
12968,North Dakota,3178,3178,40.9289,-79.4658,Pennsylvania,0.0532166160143991,0.0482706216716226,0.0581626109018826,1349.4865223229633,1224.05776890366,1474.9166032031435
12969,Ohio,3178,3178,40.9289,-79.4658,Pennsylvania,128.46606064788782,116.52586216915094,140.4063549778014,1349.4865223229633,1224.05776890366,1474.9166032031435
12970,Oklahoma,3178,3178,40.9289,-79.4658,Pennsylvania,1.2068481299008564,1.0946825743869646,1.3190137257928984,1349.4865223229633,1224.05776890366,1474.9166032031435
