,state_zip,FacID,FacID.1,lat,lon,state_facility,deaths_coef_2,deaths_coef_1_x,deaths_coef_3_x,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
129,North Carolina,8,8,33.6446,-87.2003,Alabama,167.6947803,152.7603659,182.6293375,2818.084594,2567.105464,3069.067812
130,North Dakota,8,8,33.6446,-87.2003,Alabama,0.172664528,0.157288251,0.188040809,2818.084594,2567.105464,3069.067812
131,Ohio,8,8,33.6446,-87.2003,Alabama,130.0796041,118.4953774,141.6638852,2818.084594,2567.105464,3069.067812
132,Oklahoma,8,8,33.6446,-87.2003,Alabama,18.19465182,16.57434077,19.81496815,2818.084594,2567.105464,3069.067812
133,Oregon,8,8,33.6446,-87.2003,Alabama,3.84E-06,3.50E-06,4.19E-06,2818.084594,2567.105464,3069.067812
134,Pennsylvania,8,8,33.6446,-87.2003,Alabama,138.3207785,126.0026979,150.6389045,2818.084594,2567.105464,3069.067812
135,Rhode Island,8,8,33.6446,-87.2003,Alabama,5.951130548,5.42116035,6.481101831,2818.084594,2567.105464,3069.067812
136,South Carolina,8,8,33.6446,-87.2003,Alabama,88.93633516,81.01588667,96.85686609,2818.084594,2567.105464,3069.067812
137,South Dakota,8,8,33.6446,-87.2003,Alabama,0.489369717,0.445789872,0.532949585,2818.084594,2567.105464,3069.067812
138,Tennessee,8,8,33.6446,-87.2003,Alabama,250.4003613,228.0993621,272.7017818,2818.084594,2567.105464,3069.067812
139,Texas,8,8,33.6446,-87.2003,Alabama,98.03295935,89.30267966,106.7632729,2818.084594,2567.105464,3069.067812
140,Utah,8,8,33.6446,-87.2003,Alabama,0.008620209,0.007852555,0.009387862,2818.084594,2567.105464,3069.067812
141,Vermont,8,8,33.6446,-87.2003,Alabama,2.428608655,2.212332531,2.644885132,2818.084594,2567.105464,3069.067812
142,Virginia,8,8,33.6446,-87.2003,Alabama,90.36838417,82.32055867,98.41626262,2818.084594,2567.105464,3069.067812
143,Washington,8,8,33.6446,-87.2003,Alabama,0.00124793,0.001136799,0.001359062,2818.084594,2567.105464,3069.067812
144,West Virginia,8,8,33.6446,-87.2003,Alabama,34.95276643,31.84001802,38.06553592,2818.084594,2567.105464,3069.067812
145,Wisconsin,8,8,33.6446,-87.2003,Alabama,20.82423556,18.96976135,22.67871337,2818.084594,2567.105464,3069.067812
146,Wyoming,8,8,33.6446,-87.2003,Alabama,0.005671886,0.005166789,0.006176983,2818.084594,2567.105464,3069.067812
147,Alabama,10,10,32.6017,-87.7811,Alabama,207.3439321,188.8773206,225.8109465,2079.148011,1893.980171,2264.31858
148,Arizona,10,10,32.6017,-87.7811,Alabama,0.076510905,0.069697396,0.083324415,2079.148011,1893.980171,2264.31858
149,Arkansas,10,10,32.6017,-87.7811,Alabama,39.66080013,36.12874074,43.1928899,2079.148011,1893.980171,2264.31858
150,California,10,10,32.6017,-87.7811,Alabama,0.009364163,0.008530259,0.010198068,2079.148011,1893.980171,2264.31858
151,Colorado,10,10,32.6017,-87.7811,Alabama,0.166082507,0.151292394,0.180872621,2079.148011,1893.980171,2264.31858
152,Connecticut,10,10,32.6017,-87.7811,Alabama,13.69314165,12.47371813,14.91256739,2079.148011,1893.980171,2264.31858
153,DC,10,10,32.6017,-87.7811,Alabama,3.624426109,3.301655415,3.947197881,2079.148011,1893.980171,2264.31858
154,Delaware,10,10,32.6017,-87.7811,Alabama,4.842392918,4.411158614,5.273628358,2079.148011,1893.980171,2264.31858
155,Florida,10,10,32.6017,-87.7811,Alabama,107.1755262,97.63102898,116.7200664,2079.148011,1893.980171,2264.31858
156,Georgia,10,10,32.6017,-87.7811,Alabama,146.421853,133.3818547,159.4619936,2079.148011,1893.980171,2264.31858
157,Idaho,10,10,32.6017,-87.7811,Alabama,0.002662078,0.002425013,0.002899144,2079.148011,1893.980171,2264.31858
158,Illinois,10,10,32.6017,-87.7811,Alabama,76.85076904,70.00685817,83.69470674,2079.148011,1893.980171,2264.31858
159,Indiana,10,10,32.6017,-87.7811,Alabama,61.36433859,55.89953843,66.82916533,2079.148011,1893.980171,2264.31858
160,Iowa,10,10,32.6017,-87.7811,Alabama,6.468440719,5.892404661,7.044477463,2079.148011,1893.980171,2264.31858
161,Kansas,10,10,32.6017,-87.7811,Alabama,6.244468344,5.688376918,6.800560599,2079.148011,1893.980171,2264.31858
162,Kentucky,10,10,32.6017,-87.7811,Alabama,59.51360964,54.2135702,64.81368581,2079.148011,1893.980171,2264.31858
163,Louisiana,10,10,32.6017,-87.7811,Alabama,100.1831363,91.26090763,109.1054907,2079.148011,1893.980171,2264.31858
164,Maine,10,10,32.6017,-87.7811,Alabama,3.04032927,2.769578181,3.311080625,2079.148011,1893.980171,2264.31858
165,Maryland,10,10,32.6017,-87.7811,Alabama,34.11558647,31.07744753,37.15373548,2079.148011,1893.980171,2264.31858
166,Massachusetts,10,10,32.6017,-87.7811,Alabama,19.9319238,18.15691743,21.70693278,2079.148011,1893.980171,2264.31858
167,Michigan,10,10,32.6017,-87.7811,Alabama,49.07496314,44.70464557,53.44529172,2079.148011,1893.980171,2264.31858
168,Minnesota,10,10,32.6017,-87.7811,Alabama,4.567195549,4.160473004,4.973918317,2079.148011,1893.980171,2264.31858
169,Mississippi,10,10,32.6017,-87.7811,Alabama,235.0387689,214.1007311,255.9782121,2079.148011,1893.980171,2264.31858
170,Missouri,10,10,32.6017,-87.7811,Alabama,43.13291406,39.29171402,46.97413262,2079.148011,1893.980171,2264.31858
171,Montana,10,10,32.6017,-87.7811,Alabama,0.004402432,0.004010384,0.004794481,2079.148011,1893.980171,2264.31858
172,Nebraska,10,10,32.6017,-87.7811,Alabama,1.873155217,1.70634499,2.039965556,2079.148011,1893.980171,2264.31858
173,Nevada,10,10,32.6017,-87.7811,Alabama,0.000918332,0.000836552,0.001000112,2079.148011,1893.980171,2264.31858
174,New Hampshire,10,10,32.6017,-87.7811,Alabama,3.242691946,2.95391936,3.531464902,2079.148011,1893.980171,2264.31858
175,New Jersey,10,10,32.6017,-87.7811,Alabama,41.35300513,37.67036288,45.03565572,2079.148011,1893.980171,2264.31858
176,New Mexico,10,10,32.6017,-87.7811,Alabama,0.275450386,0.25092072,0.299980062,2079.148011,1893.980171,2264.31858
177,New York,10,10,32.6017,-87.7811,Alabama,72.64865167,66.17902393,79.11829198,2079.148011,1893.980171,2264.31858
178,North Carolina,10,10,32.6017,-87.7811,Alabama,114.5778183,104.3739958,124.7817094,2079.148011,1893.980171,2264.31858
179,North Dakota,10,10,32.6017,-87.7811,Alabama,0.138469974,0.126138825,0.150801126,2079.148011,1893.980171,2264.31858
180,Ohio,10,10,32.6017,-87.7811,Alabama,90.74910413,82.66750298,98.8307331,2079.148011,1893.980171,2264.31858
181,Oklahoma,10,10,32.6017,-87.7811,Alabama,16.51473387,15.04402957,17.98544239,2079.148011,1893.980171,2264.31858
182,Oregon,10,10,32.6017,-87.7811,Alabama,2.77E-07,2.52E-07,3.01E-07,2079.148011,1893.980171,2264.31858
183,Pennsylvania,10,10,32.6017,-87.7811,Alabama,93.92122015,85.55715131,102.2853133,2079.148011,1893.980171,2264.31858
184,Rhode Island,10,10,32.6017,-87.7811,Alabama,3.887347623,3.541165774,4.233530016,2079.148011,1893.980171,2264.31858
185,South Carolina,10,10,32.6017,-87.7811,Alabama,64.45879831,58.71834191,70.19929811,2079.148011,1893.980171,2264.31858
186,South Dakota,10,10,32.6017,-87.7811,Alabama,0.419103959,0.381781514,0.45642642,2079.148011,1893.980171,2264.31858
187,Tennessee,10,10,32.6017,-87.7811,Alabama,147.4184696,134.2895772,160.547532,2079.148011,1893.980171,2264.31858
188,Texas,10,10,32.6017,-87.7811,Alabama,102.3467413,93.23227515,111.4612477,2079.148011,1893.980171,2264.31858
189,Utah,10,10,32.6017,-87.7811,Alabama,0.010686355,0.009734706,0.011638005,2079.148011,1893.980171,2264.31858
190,Vermont,10,10,32.6017,-87.7811,Alabama,1.636878395,1.491108915,1.782648057,2079.148011,1893.980171,2264.31858
191,Virginia,10,10,32.6017,-87.7811,Alabama,63.41707765,57.7694686,69.06471461,2079.148011,1893.980171,2264.31858
192,Washington,10,10,32.6017,-87.7811,Alabama,0.003064698,0.002791778,0.003337617,2079.148011,1893.980171,2264.31858
193,West Virginia,10,10,32.6017,-87.7811,Alabama,22.99192791,20.94438055,25.03948555,2079.148011,1893.980171,2264.31858
194,Wisconsin,10,10,32.6017,-87.7811,Alabama,14.70707961,13.39736364,16.01679749,2079.148011,1893.980171,2264.31858
195,Wyoming,10,10,32.6017,-87.7811,Alabama,0.008078348,0.007358948,0.008797747,2079.148011,1893.980171,2264.31858
196,Alabama,26,26,33.2442,-86.4567,Alabama,994.923205,906.2861601,1083.567368,6186.809227,5635.788684,6737.843082
197,Arizona,26,26,33.2442,-86.4567,Alabama,0.074246404,0.067634555,0.080858253,6186.809227,5635.788684,6737.843082
198,Arkansas,26,26,33.2442,-86.4567,Alabama,81.5762439,74.31127785,88.84128343,6186.809227,5635.788684,6737.843082
199,California,26,26,33.2442,-86.4567,Alabama,0.021537767,0.019619769,0.023455765,6186.809227,5635.788684,6737.843082
200,Colorado,26,26,33.2442,-86.4567,Alabama,0.318892177,0.290493929,0.347290428,6186.809227,5635.788684,6737.843082
201,Connecticut,26,26,33.2442,-86.4567,Alabama,48.32687322,44.02314823,52.63061447,6186.809227,5635.788684,6737.843082
202,DC,26,26,33.2442,-86.4567,Alabama,12.75743422,11.62130846,13.89356798,6186.809227,5635.788684,6737.843082
203,Delaware,26,26,33.2442,-86.4567,Alabama,16.67293128,15.18811852,18.15775226,6186.809227,5635.788684,6737.843082
204,Florida,26,26,33.2442,-86.4567,Alabama,302.3255101,275.4016343,329.2495721,6186.809227,5635.788684,6737.843082
205,Georgia,26,26,33.2442,-86.4567,Alabama,571.2079141,520.3333735,622.0838031,6186.809227,5635.788684,6737.843082
206,Idaho,26,26,33.2442,-86.4567,Alabama,0.008949071,0.008152131,0.009746011,6186.809227,5635.788684,6737.843082
207,Illinois,26,26,33.2442,-86.4567,Alabama,198.0936788,180.4523738,215.7350844,6186.809227,5635.788684,6737.843082
208,Indiana,26,26,33.2442,-86.4567,Alabama,171.5429047,156.2658922,186.8200427,6186.809227,5635.788684,6737.843082
209,Iowa,26,26,33.2442,-86.4567,Alabama,15.54384761,14.15961131,16.92808657,6186.809227,5635.788684,6737.843082
210,Kansas,26,26,33.2442,-86.4567,Alabama,12.74082901,11.60621116,13.87544917,6186.809227,5635.788684,6737.843082
211,Kentucky,26,26,33.2442,-86.4567,Alabama,187.0883557,170.4264911,203.7504409,6186.809227,5635.788684,6737.843082
212,Louisiana,26,26,33.2442,-86.4567,Alabama,143.0366463,130.2980976,155.7753396,6186.809227,5635.788684,6737.843082
213,Maine,26,26,33.2442,-86.4567,Alabama,10.47020022,9.537790198,11.40261215,6186.809227,5635.788684,6737.843082
214,Maryland,26,26,33.2442,-86.4567,Alabama,118.1591068,107.6363372,128.6819495,6186.809227,5635.788684,6737.843082
215,Massachusetts,26,26,33.2442,-86.4567,Alabama,70.0309923,63.79444306,76.26756023,6186.809227,5635.788684,6737.843082
