state_facility,state_zip,deaths_coef_2
Delaware,Oregon,3.532463006061804e-05
Delaware,Pennsylvania,462.21834544273713
Delaware,Rhode Island,19.603595883659732
Delaware,South Carolina,24.632847177044088
Delaware,South Dakota,0.10129955795240297
Delaware,Tennessee,17.811663983735873
Delaware,Texas,7.433858978509964
Delaware,Utah,0.0020738360195124146
Delaware,Vermont,8.381737828233343
Delaware,Virginia,310.6688835271188
Delaware,Washington,0.0007631208157663552
Delaware,West Virginia,25.167670290171046
Delaware,Wisconsin,3.391570558091636
Delaware,Wyoming,0.0017647138501604583
Florida,Alabama,665.12593088087
Florida,Arizona,1.0844898142889607
Florida,Arkansas,114.34965386778342
Florida,California,0.034723872911133366
Florida,Colorado,1.4724980006672808
Florida,Connecticut,117.31441000018818
Florida,DC,26.223081129285923
Florida,Delaware,36.762644039175726
Florida,Florida,3629.163657541465
Florida,Georgia,925.8332619305085
Florida,Idaho,0.004867880087525826
Florida,Illinois,224.2051667312337
Florida,Indiana,167.2136333274685
Florida,Iowa,30.458127827884073
Florida,Kansas,34.0252841292882
Florida,Kentucky,165.5823067537088
Florida,Louisiana,436.8851006651054
Florida,Maine,31.596225048948014
Florida,Maryland,226.76661690548877
Florida,Massachusetts,184.1720429021962
Florida,Michigan,164.29169999465668
Florida,Minnesota,25.206265964308137
Florida,Mississippi,362.19345979509797
Florida,Missouri,132.27565062747954
Florida,Montana,0.020088848291317126
Florida,Nebraska,11.847142114617647
Florida,Nevada,0.022389944036087177
Florida,New Hampshire,28.984230137258432
Florida,New Jersey,320.36728196682634
Florida,New Mexico,2.673160934532391
Florida,New York,533.5469873266252
Florida,North Carolina,734.3373568236304
Florida,North Dakota,0.8922430848301985
Florida,Ohio,331.217628792368
Florida,Oklahoma,83.48444300099962
Florida,Oregon,2.7699206442077785e-05
Florida,Pennsylvania,534.0689797181661
Florida,Rhode Island,35.071277919686736
Florida,South Carolina,495.4891248167547
Florida,South Dakota,2.9098580015254036
Florida,Tennessee,371.6767052084506
Florida,Texas,590.5841725842137
Florida,Utah,0.015176286569185954
Florida,Vermont,12.89276438593252
