state_zip,FacID,lat,lon,state_facility,deaths_coef_2,deaths_coef_2_all
New Hampshire,51,32.0306,-93.5692,Louisiana,1.429678176,1140.068465
New Jersey,51,32.0306,-93.5692,Louisiana,15.02199596,1140.068465
New Mexico,51,32.0306,-93.5692,Louisiana,0.552331763,1140.068465
New York,51,32.0306,-93.5692,Louisiana,29.44774388,1140.068465
North Carolina,51,32.0306,-93.5692,Louisiana,30.68959007,1140.068465
North Dakota,51,32.0306,-93.5692,Louisiana,0.218857101,1140.068465
Ohio,51,32.0306,-93.5692,Louisiana,41.52778431,1140.068465
Oklahoma,51,32.0306,-93.5692,Louisiana,36.05096776,1140.068465
Oregon,51,32.0306,-93.5692,Louisiana,0.000875258,1140.068465
Pennsylvania,51,32.0306,-93.5692,Louisiana,35.98658977,1140.068465
Rhode Island,51,32.0306,-93.5692,Louisiana,1.520121696,1140.068465
South Carolina,51,32.0306,-93.5692,Louisiana,16.12147199,1140.068465
South Dakota,51,32.0306,-93.5692,Louisiana,0.77687875,1140.068465
Tennessee,51,32.0306,-93.5692,Louisiana,43.20742771,1140.068465
Texas,51,32.0306,-93.5692,Louisiana,342.7333499,1140.068465
Utah,51,32.0306,-93.5692,Louisiana,0.004742464,1140.068465
Vermont,51,32.0306,-93.5692,Louisiana,0.746150091,1140.068465
Virginia,51,32.0306,-93.5692,Louisiana,18.56587181,1140.068465
Washington,51,32.0306,-93.5692,Louisiana,0.005956337,1140.068465
West Virginia,51,32.0306,-93.5692,Louisiana,7.379100978,1140.068465
Wisconsin,51,32.0306,-93.5692,Louisiana,14.2675443,1140.068465
