,state_zip,year,deaths_coef_2_all,deaths_coef_1,deaths_coef_3
519,Missouri,2012,336.96888406909494,306.9599278270198,366.9780249954348
520,Missouri,2013,292.746505217472,266.67598940506355,318.8171440802102
521,Missouri,2014,305.51420776041533,278.30645778403806,332.72212672188317
522,Missouri,2015,227.47607467983667,207.2181960471573,247.73405198146529
523,Missouri,2016,165.89879120516812,151.12467906474853,180.672974839903
524,Missouri,2017,147.5156508119441,134.37860797135644,160.6527651919404
525,Missouri,2018,151.09042485587733,137.6350424971912,164.5458779710418
526,Missouri,2019,97.14995225497398,88.49827961352757,105.80166410438407
527,Missouri,2020,86.38843364641576,78.69511055519791,94.08179466829871
528,Montana,1999,4.712773188055538,4.29307855032108,5.132469613364184
529,Montana,2000,3.235781947995245,2.9476196809782245,3.523945569854027
530,Montana,2001,3.502633376494487,3.1907068505004337,3.8145613356934223
531,Montana,2002,3.028695833054275,2.758978139168372,3.298414298832232
532,Montana,2003,2.705465701218411,2.4645329005626273,2.946399204276497
533,Montana,2004,2.190517240932602,1.9954426266154248,2.3855924401796513
534,Montana,2005,2.5309826938032685,2.3055887402485187,2.7563772221988985
535,Montana,2006,2.7500997924583968,2.5051932918353144,2.995006782479553
536,Montana,2007,2.2403566637673875,2.040843202152214,2.4398708097865796
537,Montana,2008,1.8811993542932093,1.7136708002401315,2.0487284059970645
538,Montana,2009,2.3289853691292945,2.1215800938317213,2.5363911689263388
539,Montana,2010,2.378572334248089,2.166751015490128,2.590394214062132
540,Montana,2011,1.7949006824189995,1.6350579265468734,1.9547438063834324
541,Montana,2012,1.2155142072837892,1.1072681325152434,1.3237605109253123
542,Montana,2013,1.6886727869516955,1.538290104063118,1.8390558017754086
543,Montana,2014,0.9940911790218374,0.905563982840445,1.0826184974994737
544,Montana,2015,1.3173134834897788,1.2000024354152474,1.4346246560334202
545,Montana,2016,0.9600732083006922,0.8745757057676153,1.0455707746292031
546,Montana,2017,0.6284288666139153,0.5724651614435746,0.6843926451791978
547,Montana,2018,0.8025528831287259,0.7310829264652495,0.874022918253305
548,Montana,2019,0.8112859510276178,0.7390382857582989,0.8835336956819215
549,Montana,2020,0.346712968115361,0.3158371115676835,0.37758884561731976
550,Nebraska,1999,136.27619494403282,124.13975884358149,148.41276084956627
551,Nebraska,2000,110.90897131523927,101.0315663506932,120.78650419651471
552,Nebraska,2001,109.79286290740771,100.01488997545776,119.57095603140343
553,Nebraska,2002,110.01377241617018,100.2161688843191,119.8114879237521
554,Nebraska,2003,112.18825385860579,102.19707328752772,122.17953339132434
555,Nebraska,2004,104.56539408260578,95.25305553949019,113.87783055590243
556,Nebraska,2005,139.76589588129792,127.31847014098295,152.21349487059055
557,Nebraska,2006,96.12008061185453,87.55988249242839,104.68036455943968
558,Nebraska,2007,92.62400394708129,84.37516520641461,100.87292380780238
559,Nebraska,2008,78.88587924230177,71.86049258904079,85.91134035788778
560,Nebraska,2009,67.66777825792447,61.64158593580431,73.69400761421679
561,Nebraska,2010,68.97330250359295,62.83076551026777,75.11589298248573
562,Nebraska,2011,55.6834106237775,50.72448311361638,60.64237053205022
563,Nebraska,2012,50.663342186626785,46.15141933987252,55.175306492323685
564,Nebraska,2013,47.233558762905986,43.02714125326888,51.44000333149012
565,Nebraska,2014,40.13205671747735,36.55805775055812,43.706080762684486
566,Nebraska,2015,39.47801493871701,35.96221922539288,42.993843745366156
567,Nebraska,2016,24.82783951012518,22.61675983801974,27.03893714349287
568,Nebraska,2017,23.76300287280471,21.64674637852071,25.87927800731341
569,Nebraska,2018,24.247140557684244,22.087746567375653,26.406557822530058
570,Nebraska,2019,15.637245062737387,14.244666554481098,17.02983111041894
571,Nebraska,2020,14.824525951794966,13.504317965779512,16.144742330705885
572,Nevada,1999,9.263137134951696,8.438139132223665,10.088152740719508
573,Nevada,2000,8.14373427170345,7.418443039925521,8.869039028152377
574,Nevada,2001,8.787754392347045,8.005088793819622,9.570437936050995
575,Nevada,2002,6.690185826925629,6.094360951367191,7.286019564099235
576,Nevada,2003,10.59245476387252,9.649055699872592,11.535875663783973
577,Nevada,2004,8.566833239921465,7.803868451032394,9.329810659854196
578,Nevada,2005,10.277821546239949,9.362454628360322,11.193207721106887
579,Nevada,2006,3.0810106251630853,2.806634943252257,3.355386924690796
580,Nevada,2007,2.586301064117345,2.3559824908005997,2.816619892727724
581,Nevada,2008,2.2859806655845305,2.08240656941233,2.4895549946721616
582,Nevada,2009,2.3855454381445074,2.1731047779107384,2.5979863402303867
583,Nevada,2010,2.6396215202983186,2.404554952693229,2.874688276762496
584,Nevada,2011,1.8278774573359238,1.6650992652190655,1.9906557757200667
585,Nevada,2012,1.6965237467276748,1.5454429605322244,1.8476046602928382
586,Nevada,2013,2.8518117380169157,2.597848988012981,3.1057746878425636
587,Nevada,2014,2.2982595741507903,2.0935910242611446,2.5029285491446602
588,Nevada,2015,2.1483105704241927,1.9569968405089744,2.339624442705845
589,Nevada,2016,1.2132399443954576,1.1051974223118395,1.3212824952693267
590,Nevada,2017,1.014948984030069,0.9245648448468294,1.1053331472963324
591,Nevada,2018,0.978823847543651,0.8916567329580724,1.06599098990021
592,Nevada,2019,0.7376268838462011,0.6719389384031759,0.8033148742478945
593,Nevada,2020,0.5949206833120777,0.5419412576020084,0.6479001270865851
594,New Hampshire,1999,165.30926595352207,150.5875282649288,180.03109946060178
595,New Hampshire,2000,160.4504405192615,146.16142777706065,174.739542609173
596,New Hampshire,2001,212.1524521403401,193.2587887755515,231.04629155415537
597,New Hampshire,2002,155.84630854142569,141.96728117666584,169.72543020450337
598,New Hampshire,2003,130.17653578297794,118.58362263251392,141.7695139200993
599,New Hampshire,2004,169.54307199046463,154.44420236866617,184.6420569437043
600,New Hampshire,2005,123.3881690169777,112.3997837056173,134.37661833921635
601,New Hampshire,2006,145.80489732417684,132.82011552420414,158.7897675359204
602,New Hampshire,2007,145.57946707359739,132.6146760708097,158.5443629905898
603,New Hampshire,2008,114.15698378215514,103.99067288909006,124.3233563743256
604,New Hampshire,2009,69.98131659617691,63.749155355427455,76.21350351323409
605,New Hampshire,2010,53.45185142550175,48.691731163803524,58.21198829932412
606,New Hampshire,2011,55.565600360152374,50.617255163560465,60.51396016287477
607,New Hampshire,2012,31.516958391389974,28.710257236298098,34.32366517459534
608,New Hampshire,2013,29.886381634280543,27.224891709004158,32.54787643356267
609,New Hampshire,2014,21.7313733533109,19.7961209484851,23.666628390773873
610,New Hampshire,2015,18.103160237080907,16.491009939856788,19.715313227906236
611,New Hampshire,2016,12.859046507651007,11.71390878588696,14.004185019695795
612,New Hampshire,2017,9.831400284478567,8.95588412677301,10.706916980502552
613,New Hampshire,2018,9.983708292822394,9.094628269255226,10.872788936084763
614,New Hampshire,2019,7.341974684633393,6.688149650530365,7.995800084169008
615,New Hampshire,2020,7.133390919703117,6.498140499642483,7.768641773143209
616,New Jersey,1999,1865.2317642337948,1699.1192154862513,2031.345974613209
617,New Jersey,2000,1632.3625568185876,1486.9899473342864,1777.7363797843884
618,New Jersey,2001,1732.557472213037,1578.260795627016,1886.8556424169585
619,New Jersey,2002,1686.0044326508971,1535.8537043804508,1836.156601485201
620,New Jersey,2003,1556.215056822115,1417.6230176209738,1694.8084220213295
621,New Jersey,2004,1519.4219544589173,1384.1059931109523,1654.739329763374
622,New Jersey,2005,1301.049182672721,1185.1812679952607,1416.9182479249841
623,New Jersey,2006,1348.6137244906965,1228.5099591749151,1468.7186592480996
624,New Jersey,2007,1373.9543439230367,1251.593407916274,1496.3165507446918
625,New Jersey,2008,1188.2657265267658,1082.4419809306528,1294.0905268531387
626,New Jersey,2009,702.356353835565,639.807745959033,764.9053196732607
