state_zip,state_facility,deaths_coef_2
Delaware,New Hampshire,6.188757027859649
Delaware,New Jersey,40.688519201735346
Delaware,New Mexico,0.6696043338551309
Delaware,New York,37.88862440054108
Delaware,North Carolina,105.8757223193409
Delaware,North Dakota,9.475721513157357
Delaware,Ohio,277.1028312500229
Delaware,Oklahoma,7.581390435498113
Delaware,Oregon,0.2602804489053392
Delaware,Pennsylvania,366.4909333640872
Delaware,South Carolina,36.60510361028337
Delaware,South Dakota,1.314437468004107
Delaware,Tennessee,48.72972871134336
Delaware,Texas,32.181977522190074
Delaware,Utah,0.5103848348681883
Delaware,Virginia,72.784877044265
Delaware,Washington,0.3072700189008473
Delaware,West Virginia,134.54264900943195
Delaware,Wisconsin,21.52429403478859
Delaware,Wyoming,3.2072647892903414
Florida,Alabama,972.2110484046627
Florida,Arizona,11.37397575381178
Florida,Arkansas,95.34362655865698
Florida,Colorado,21.19355899424692
Florida,Connecticut,2.4849066313758152
Florida,Delaware,28.022244518991705
Florida,Florida,2114.6979940619826
Florida,Georgia,1208.940431520031
Florida,Illinois,314.04304164746424
Florida,Indiana,754.5080529339433
Florida,Iowa,80.33743258170576
Florida,Kansas,59.10533386958813
Florida,Kentucky,521.7199261969914
Florida,Louisiana,155.5029326167026
Florida,Maryland,213.38964655554182
Florida,Massachusetts,24.079627811020558
Florida,Michigan,211.09305217239583
Florida,Minnesota,37.75411619995593
Florida,Mississippi,206.0487814893073
Florida,Missouri,238.42164644183458
Florida,Montana,5.991544656430018
Florida,Nebraska,40.639850722571836
Florida,Nevada,2.7359859070905688
Florida,New Hampshire,14.580796722710712
Florida,New Jersey,30.33230317263629
Florida,New Mexico,7.561213290445694
Florida,New York,63.94347729865268
Florida,North Carolina,592.4950720464145
Florida,North Dakota,48.685796952851675
Florida,Ohio,879.6659028446967
Florida,Oklahoma,70.39575799499109
Florida,Oregon,1.6548551976715804
Florida,Pennsylvania,624.5000208520288
Florida,South Carolina,480.33964731207317
Florida,South Dakota,6.465380400495849
Florida,Tennessee,398.3140301634978
Florida,Texas,435.3996760908361
Florida,Utah,4.254290295843966
Florida,Virginia,207.36264410344754
Florida,Washington,1.6547767926389894
Florida,West Virginia,401.2559042325837
Florida,Wisconsin,91.77676364885494
Florida,Wyoming,22.046735644327967
Georgia,Alabama,1608.9864207939747
Georgia,Arizona,10.18388635472497
Georgia,Arkansas,120.27969920082828
Georgia,Colorado,24.846537544033826
Georgia,Connecticut,1.4870253718891582
Georgia,Delaware,21.645790606167726
Georgia,Florida,720.4533225272014
Georgia,Georgia,4090.0232875684083
Georgia,Illinois,431.9284759896045
Georgia,Indiana,1197.6057370387173
Georgia,Iowa,102.44782644712572
Georgia,Kansas,70.16118659034925
Georgia,Kentucky,945.4517592953374
Georgia,Louisiana,161.25550346060643
Georgia,Maryland,209.4564559707428
Georgia,Massachusetts,13.419139741182583
Georgia,Michigan,267.2164057484209
Georgia,Minnesota,43.946096395800446
Georgia,Mississippi,179.14844421566008
Georgia,Missouri,317.1939538269439
Georgia,Montana,7.548859505554903
Georgia,Nebraska,49.04740174081235
Georgia,Nevada,2.723243030252737
Georgia,New Hampshire,7.790454954106867
Georgia,New Jersey,21.739104232244625
Georgia,New Mexico,8.145214504361054
Georgia,New York,54.02665274356375
Georgia,North Carolina,1238.721973518104
Georgia,North Dakota,59.29846307326156
Georgia,Ohio,1224.784220219797
Georgia,Oklahoma,82.91165784981116
Georgia,Oregon,2.008855795369658
Georgia,Pennsylvania,620.6419393985215
Georgia,South Carolina,1154.532933359192
Georgia,South Dakota,7.5616470960208275
Georgia,Tennessee,918.1271696999731
Georgia,Texas,475.02456006692796
Georgia,Utah,5.072739747823713
Georgia,Virginia,244.28614108159806
Georgia,Washington,2.0688535822284844
Georgia,West Virginia,504.86681932590585
Georgia,Wisconsin,115.67663050470557
Georgia,Wyoming,27.538351514245697
Idaho,Alabama,0.02205166701238947
Idaho,Arizona,1.2899170430109503
Idaho,Arkansas,0.013076129103749189
Idaho,Colorado,0.7017829562017021
Idaho,Connecticut,5.273191314788179e-06
Idaho,Delaware,8.064156203483698e-05
Idaho,Florida,0.0018318241097815356
Idaho,Georgia,0.013414662096750638
Idaho,Illinois,0.06329510335983472
Idaho,Indiana,0.06987103451126493
Idaho,Iowa,0.05580843998110742
