state_zip,FacID,FacID,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2
Alabama,602,602,39.1792,-76.5383,Maryland,16.323088689454153
Alabama,628,628,28.9594,-82.7003,Florida,150.91544288055562
Alabama,641,641,30.5661,-87.2289,Florida,151.9728888015184
Alabama,642,642,30.6689,-84.8869,Florida,12.913409157599554
Alabama,643,643,30.2689,-85.7003,Florida,72.1728658482174
Alabama,645,645,27.7944,-82.4036,Florida,29.404858155075054
Alabama,646,646,27.9083,-82.4194,Florida,25.53904636657597
Alabama,663,663,29.7586,-82.3883,Florida,12.180146078512802
Alabama,667,667,30.4172,-81.5525,Florida,4.959918839785988
Alabama,676,676,28.0809,-81.9256,Florida,9.54044553403903
Alabama,699,699,32.9269,-83.6997,Georgia,8.16106267859346
Alabama,703,703,34.1256,-84.9192,Georgia,1728.237616667304
Alabama,708,708,34.2533,-85.3456,Georgia,342.91038612955214
Alabama,709,709,33.1942,-83.2994,Georgia,394.8402887400597
Alabama,710,710,33.8244,-84.475,Georgia,256.0785157562641
Alabama,727,727,31.4444,-84.1322,Georgia,23.563998688432793
Alabama,728,728,33.4622,-84.8986,Georgia,623.0132407733681
Alabama,733,733,32.1486,-81.1458,Georgia,13.986414647172513
Alabama,856,856,40.5958,-89.6631,Illinois,35.199309008425274
Alabama,861,861,39.0586,-89.4031,Illinois,33.92513167373501
Alabama,862,862,37.6578,-89.5119,Illinois,3.5295866314278
Alabama,863,863,39.1333,-87.6597,Illinois,13.31332850232231
Alabama,864,864,39.8194,-90.5647,Illinois,12.227928957319042
Alabama,867,867,41.8278,-87.7236,Illinois,5.946946768507954
Alabama,874,874,41.4931,-88.1153,Illinois,4.14302183520529
Alabama,876,876,39.5906,-89.4964,Illinois,20.447607389571008
Alabama,879,879,40.5408,-89.6786,Illinois,24.614777858062915
Alabama,883,883,42.3833,-87.8133,Illinois,9.499469457095659
Alabama,884,884,41.6334,-88.0626,Illinois,12.6336247719282
Alabama,886,886,41.8508,-87.6533,Illinois,3.476900755270301
Alabama,887,887,37.2103,-88.8606,Illinois,48.95903871232587
Alabama,889,889,38.205,-89.855,Illinois,58.38136288455945
